present,past,past participle,
cost,cost,cost,AAA
cut,cut,cut,AAA
hit,hit,hit,AAA
hurt,hurt,hurt,AAA
let,let,let,AAA
put,put,put,AAA
read,read,read,AAA
set,set,set,AAA
shut,shut,shut,AAA
spread,spread,spread,AAA
come,came,come,ABA
become,became,become,ABA
run,ran,run,ABA
bend,bent,bent,ABB
bring,brought,brought,ABB
build,built,built,ABB
buy,bought,bought,ABB
catch,caught,caught,ABB
deal,dealt,dealt,ABB
feed,fed,fed,ABB
feel,felt,felt,ABB
fight,fought,fought,ABB
get,got,got,ABB
have,had,had,ABB
hear,heard,heard,ABB
hold,held,held,ABB
keep,kept,kept,ABB
lay,laid,laid,ABB
lead,led,led,ABB
leave,left,left,ABB
light,lit,lit,ABB
lose,lost,lost,ABB
make,made,made,ABB
mean,meant,meant,ABB
meet,met,met,ABB
pay,paid,paid,ABB
say,said,said,ABB
sell,sold,sold,ABB
send,sent,sent,ABB
shoot,shot,shot,ABB
sit,sat,sat,ABB
sleep,slept,slept,ABB
spend,spent,spent,ABB
stand,stood,stood,ABB
stick,stuck,stuck,ABB
teach,taught,taught,ABB
tell,told,told,ABB
think,thought,thought,ABB
understand,understood,understood,ABB
win,won,won,ABB
begin,began,begun,ABC
blow,blew,blown,ABC
break,broke,broken,ABC
choose,chose,chosen,ABC
do/does,did,done,ABC
draw,drew,drawn,ABC
drink,drank,drunk,ABC
drive,drove,driven,ABC
eat,ate,eaten,ABC
fall,fell,fallen,ABC
fly,flew,flown,ABC
forget,forgot,forgot,ABC
give,gave,given,ABC
go,went,gone,ABC
grow,grew,grown,ABC
hide,hid,hidden,ABC
know,knew,known,ABC
lie,lay,lain,ABC
ring,rang,rung,ABC
rise,rose,risen,ABC
see,saw,seen,ABC
show,showed,shown,ABC
sing,sang,sung,ABC
sink,sank,sunk,ABC
speak,spoke,spoken,ABC
steal,stole,stolen,ABC
swim,swam,swum,ABC
take,took,taken,ABC
tear,tore,torn,ABC
throw,threw,thrown,ABC
wear,wore,worn,ABC
write,wrote,written,ABC
